"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"187",187,187,"noah vonleh","PF",19,"CHO",25,0,10.4,1.2,3,"0.395",0.2,0.5,"0.385",1,2.5,"0.397","0.428",0.7,1,"0.692",1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.8,3.3
"188",188,188,"david wear","PF",24,"SAC",2,0,3.5,0,1,"0",0,0.5,"0",0,0.5,"0","0",0,0,"NA",1,0,1,0.5,0,0,0,0.5,0
"189",189,189,"david west","PF",34,"IND",66,66,28.7,4.9,10.4,"0.471",0.1,0.3,"0.2",4.8,10.1,"0.479","0.474",1.8,2.4,"0.739",1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7
"190",190,190,"shayne whittington","PF",23,"IND",20,0,5.4,1,2.1,"0.452",0.1,0.3,"0.167",0.9,1.8,"0.5","0.464",0.9,1.2,"0.783",0.5,1,1.5,0.3,0.3,0.1,0.3,0.9,2.9
"191",191,191,"derrick williams","PF",23,"SAC",74,6,19.8,2.9,6.6,"0.447",0.7,2.1,"0.314",2.3,4.4,"0.511","0.498",1.8,2.6,"0.684",0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3
"192",192,192,"marvin williams","PF",28,"CHO",78,37,26.1,2.7,6.3,"0.424",1.2,3.4,"0.358",1.5,2.9,"0.5","0.52",0.8,1.1,"0.713",0.7,4.2,4.9,1.3,0.9,0.5,0.8,1.9,7.4
"193",193,193,"brandan wright","PF",27,"TOT",75,7,19.3,3.1,4.8,"0.642",0,0,"0",3.1,4.8,"0.647","0.642",1,1.5,"0.696",1.7,2.6,4.3,0.5,0.7,1.3,0.5,1.4,7.3
"194",194,194,"thaddeus young","PF",26,"TOT",76,68,32,5.9,12.7,"0.466",0.5,1.5,"0.33",5.4,11.2,"0.484","0.486",1.7,2.6,"0.655",1.7,3.7,5.4,2.3,1.6,0.3,1.5,2.3,14.1
"195",195,195,"lance thomas","PF",26,"TOT",62,37,24,2.9,7.1,"0.412",0.1,0.4,"0.318",2.8,6.8,"0.417","0.42",1.2,1.6,"0.727",1,2.1,3.1,1.1,0.6,0.1,1.2,1.6,7.1
"196",196,196,"dj augustin","PG",27,"TOT",82,14,24,3.1,7.9,"0.399",1,3,"0.337",2.1,4.9,"0.436","0.463",2.2,2.5,"0.868",0.2,1.7,2,4.3,0.6,0,1.8,1.1,9.5
"197",197,197,"jj barea","PG",30,"DAL",77,10,17.7,2.9,7,"0.42",0.7,2.2,"0.323",2.2,4.8,"0.463","0.47",1,1.2,"0.809",0.3,1.4,1.7,3.4,0.4,0,0.9,1.4,7.5
"198",198,198,"jerryd bayless","PG",26,"MIL",77,4,22.3,2.9,6.7,"0.426",0.5,1.6,"0.308",2.4,5.1,"0.462","0.462",1.6,1.8,"0.883",0.3,2.5,2.7,3,0.8,0.2,1.7,2.1,7.8
"199",199,199,"patrick beverley","PG",26,"HOU",56,55,30.8,3.6,9.5,"0.383",2.1,5.8,"0.356",1.6,3.7,"0.426","0.492",0.8,1.1,"0.75",1.2,3,4.2,3.4,1.1,0.4,1.5,3.3,10.1
"200",200,200,"steve blake","PG",34,"POR",81,0,18.9,1.5,4,"0.373",1,2.7,"0.352",0.6,1.3,"0.417","0.491",0.4,0.5,"0.707",0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,4.3
"201",201,201,"eric bledsoe","PG",25,"PHO",81,81,34.6,5.8,12.9,"0.447",1.1,3.4,"0.324",4.7,9.6,"0.491","0.489",4.4,5.4,"0.8",0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17
"202",202,202,"aaron brooks","PG",30,"CHI",82,21,23,4.2,10,"0.421",1.5,3.8,"0.387",2.7,6.1,"0.442","0.495",1.8,2.1,"0.833",0.4,1.6,2,3.2,0.7,0.2,1.9,2.3,11.6
"203",203,203,"lorenzo brown","PG",24,"MIN",29,7,18.9,1.8,4.2,"0.426",0.2,1,"0.214",1.6,3.2,"0.489","0.451",0.4,0.7,"0.632",0.5,1.9,2.4,3.1,1,0.2,1,1.7,4.2
"204",204,204,"trey burke","PG",22,"UTA",76,43,30.1,4.9,13.2,"0.368",1.6,5.1,"0.318",3.2,8.1,"0.4","0.43",1.4,1.9,"0.752",0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8
"205",205,205,"dwight buycks","PG",25,"LAL",6,0,20.5,3,6.7,"0.45",1.2,1.8,"0.636",1.8,4.8,"0.379","0.538",1.5,1.7,"0.9",0.3,1.7,2,2.3,0.5,0,2,0.5,8.7
"206",206,206,"jose calderon","PG",33,"NYK",42,42,30.2,3.5,8.4,"0.415",1.4,3.4,"0.415",2.1,5,"0.415","0.499",0.7,0.8,"0.906",0.5,2.5,3,4.7,0.7,0,1.8,1.8,9.1
"207",207,207,"isaiah canaan","PG",23,"TOT",47,21,20,3.1,8,"0.386",1.9,5.2,"0.37",1.2,2.8,"0.417","0.507",1,1.3,"0.817",0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,9.2
"208",208,208,"michael carter-williams","PG",23,"TOT",66,63,32.6,5.5,13.9,"0.396",0.5,2.3,"0.235",5,11.6,"0.428","0.416",3.1,4.4,"0.694",1,4.4,5.3,6.7,1.7,0.5,3.8,2.5,14.6
"209",209,209,"mario chalmers","PG",28,"MIA",80,37,29.6,3.3,8.3,"0.403",0.9,3.1,"0.294",2.4,5.2,"0.467","0.458",2.6,3.3,"0.774",0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,10.2
"210",210,210,"will cherry","PG",23,"CLE",8,0,8.6,0.6,2.4,"0.263",0.3,1.1,"0.222",0.4,1.3,"0.3","0.316",0.4,0.8,"0.5",0.1,0.5,0.6,1,0.8,0.1,0.5,1.3,1.9
"211",211,211,"jordan clarkson","PG",22,"LAL",59,38,25,4.5,10.1,"0.448",0.6,2.1,"0.314",3.9,8.1,"0.482","0.48",2.2,2.7,"0.829",0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9
"212",212,212,"norris cole","PG",26,"TOT",75,25,24.4,3.1,7.4,"0.412",0.7,2.3,"0.313",2.3,5.1,"0.458","0.461",0.8,1.1,"0.716",0.2,1.9,2.1,3.4,0.8,0.2,1.3,1.7,7.6
"213",213,213,"darren collison","PG",27,"SAC",45,45,34.8,5.8,12.2,"0.473",1.3,3.6,"0.373",4.4,8.6,"0.514","0.527",3.2,4.1,"0.788",0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1,16.1
"214",214,214,"mike conley","PG",27,"MEM",70,70,31.8,5.6,12.6,"0.446",1.5,4,"0.386",4.1,8.6,"0.473","0.506",3.1,3.6,"0.859",0.4,2.6,3,5.4,1.3,0.2,2.2,2,15.8
"215",215,215,"bryce cotton","PG",22,"UTA",15,0,10.6,1.9,4.6,"0.42",0.5,1.3,"0.35",1.5,3.3,"0.449","0.471",1,1.2,"0.833",0.2,1,1.2,1,0.3,0,0.8,0.4,5.3
"216",216,216,"seth curry","PG",24,"PHO",2,0,4,0,1.5,"0",0,0.5,"0",0,1,"0","0",0,0,"NA",0,1,1,0.5,0,0,0,1,0
"217",217,217,"stephen curry","PG",26,"GSW",80,80,32.7,8.2,16.8,"0.487",3.6,8.1,"0.443",4.6,8.7,"0.528","0.594",3.9,4.2,"0.914",0.7,3.6,4.3,7.7,2,0.2,3.1,2,23.8
"218",218,218,"spencer dinwiddie","PG",21,"DET",34,1,13.4,1.5,5,"0.302",0.4,1.9,"0.185",1.1,3.1,"0.375","0.337",0.9,1,"0.912",0.1,1.3,1.4,3.1,0.6,0.2,1,1.6,4.3
"219",219,219,"larry drew","PG",24,"PHI",12,1,18.3,1.7,4.8,"0.345",0.3,2.2,"0.154",1.3,2.7,"0.5","0.379",0.2,0.3,"0.667",0.1,1.2,1.3,3.8,0.5,0,2.1,1.1,3.8
"220",220,220,"tyler ennis","PG",20,"TOT",33,1,12.5,1.6,4.4,"0.361",0.4,1.3,"0.279",1.2,3.1,"0.396","0.403",0.2,0.2,"0.714",0.2,0.8,1.1,2.2,0.5,0.2,1.3,1.1,3.7
"221",221,221,"dante exum","PG",19,"UTA",82,41,22.2,1.8,5.1,"0.349",1,3.2,"0.314",0.8,1.9,"0.408","0.448",0.2,0.4,"0.625",0.3,1.3,1.6,2.4,0.5,0.2,1.4,1.8,4.8
"222",222,222,"jordan farmar","PG",28,"LAC",36,0,14.7,1.7,4.4,"0.386",1,2.7,"0.361",0.7,1.7,"0.426","0.497",0.3,0.3,"0.909",0.2,0.9,1.2,1.9,0.6,0.1,0.9,1.4,4.6
"223",223,223,"raymond felton","PG",30,"DAL",29,3,9.7,1.5,3.7,"0.406",0.3,1.2,"0.294",1.1,2.5,"0.458","0.453",0.4,0.5,"0.8",0.1,0.8,0.9,1.4,0.4,0.1,0.6,0.6,3.7
"224",224,224,"tim frazier","PG",24,"TOT",11,3,21.7,1.9,5.5,"0.344",0.5,1.5,"0.294",1.5,4,"0.364","0.385",0.9,1.9,"0.476",0.5,2,2.5,5.5,0.7,0,2.3,2.4,5.2
"225",225,225,"jimmer fredette","PG",25,"NOP",50,0,10.2,1.3,3.3,"0.38",0.2,1,"0.188",1.1,2.4,"0.458","0.407",0.9,0.9,"0.956",0.2,0.6,0.8,1.2,0.3,0,0.7,0.9,3.6
"226",226,226,"langston galloway","PG",23,"NYK",45,41,32.4,4.5,11.4,"0.399",1.4,3.9,"0.352",3.2,7.4,"0.424","0.46",1.4,1.7,"0.808",0.8,3.4,4.2,3.3,1.2,0.3,1.4,2.9,11.8
"227",227,227,"erick green","PG",23,"DEN",43,1,9.5,1.4,3.8,"0.377",0.3,1.1,"0.298",1.1,2.7,"0.409","0.42",0.2,0.3,"0.833",0.2,0.6,0.7,0.9,0.3,0,0.3,0.6,3.4
"228",228,228,"jorge gutierrez","PG",26,"TOT",20,1,8.8,1.1,2.1,"0.537",0,0.2,"0",1.1,1.9,"0.579","0.537",0.5,0.7,"0.692",0.3,1,1.3,1.1,0.3,0,0.6,1.3,2.7
"229",229,229,"devin harris","PG",31,"DAL",76,3,22.2,2.9,6.9,"0.418",1.3,3.5,"0.357",1.6,3.4,"0.481","0.509",1.7,2.1,"0.815",0.2,1.6,1.8,3.1,1,0.2,1.1,1.9,8.8
"230",230,230,"george hill","PG",28,"IND",43,36,29.5,5.9,12.4,"0.477",1.6,4.5,"0.358",4.3,8,"0.544","0.541",2.6,3.3,"0.79",0.6,3.6,4.2,5.1,1,0.3,1.6,2.6,16.1
"231",231,231,"jrue holiday","PG",24,"NOP",40,37,32.6,6,13.4,"0.446",1.3,3.4,"0.378",4.7,10,"0.469","0.493",1.6,1.9,"0.855",0.8,2.6,3.4,6.9,1.6,0.6,2.3,2.8,14.8
"232",232,232,"kyrie irving","PG",22,"CLE",75,75,36.4,7.7,16.5,"0.468",2.1,5,"0.415",5.6,11.4,"0.491","0.532",4.2,4.9,"0.863",0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7
"233",233,233,"jarrett jack","PG",31,"BRK",80,27,28,4.5,10.2,"0.439",0.5,1.8,"0.267",4,8.4,"0.477","0.463",2.5,2.8,"0.881",0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12
"234",234,234,"reggie jackson","PG",24,"TOT",77,40,29.5,5.6,12.9,"0.434",0.9,3.1,"0.299",4.7,9.8,"0.477","0.47",2.4,2.8,"0.83",0.7,3.5,4.2,6,0.8,0.1,2.4,2.2,14.5
"235",235,235,"brandon jennings","PG",25,"DET",41,41,28.6,5.3,13.2,"0.401",1.9,5.1,"0.36",3.5,8.1,"0.428","0.471",2.9,3.5,"0.839",0.5,2,2.5,6.6,1.1,0.1,2.2,1.6,15.4
"236",236,236,"cory joseph","PG",23,"SAS",79,14,18.3,2.6,5.2,"0.504",0.2,0.6,"0.364",2.4,4.6,"0.52","0.523",1.3,1.8,"0.734",0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8
"237",237,237,"shane larkin","PG",22,"NYK",76,22,24.5,2.5,5.7,"0.433",0.5,1.5,"0.302",2,4.2,"0.481","0.473",0.8,1,"0.782",0.4,1.9,2.3,3,1.2,0.1,1.1,2,6.2
"238",238,238,"zach lavine","PG",19,"MIN",77,40,24.7,3.7,8.8,"0.422",0.7,2.2,"0.341",3,6.6,"0.449","0.465",1.9,2.3,"0.842",0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1
"239",239,239,"ty lawson","PG",27,"DEN",75,75,35.5,5.4,12.3,"0.436",0.9,2.7,"0.341",4.5,9.6,"0.463","0.474",3.5,4.8,"0.73",0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2
"240",240,240,"damian lillard","PG",24,"POR",82,82,35.7,7.2,16.6,"0.434",2.4,7,"0.343",4.8,9.6,"0.5","0.506",4.2,4.9,"0.864",0.6,4,4.6,6.2,1.2,0.3,2.7,2,21
"241",241,241,"jeremy lin","PG",26,"LAL",74,30,25.8,3.7,8.8,"0.424",0.9,2.4,"0.369",2.9,6.5,"0.444","0.473",2.9,3.6,"0.795",0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2
"242",242,242,"shaun livingston","PG",29,"GSW",78,2,18.8,2.5,5.1,"0.5",0,0,"0",2.5,5.1,"0.503","0.5",0.8,1.2,"0.714",0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9
"243",243,243,"kyle lowry","PG",28,"TOR",70,70,34.5,6.1,14.9,"0.412",1.9,5.6,"0.338",4.3,9.3,"0.457","0.476",3.6,4.5,"0.808",0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8
"244",244,244,"kalin lucas","PG",25,"MEM",1,0,6,0,1,"0",0,0,"NA",0,1,"0","0",0,0,"NA",0,0,0,0,1,0,0,1,0
"245",245,245,"john lucas iii","PG",32,"DET",21,0,13,2,5,"0.404",0.4,1.4,"0.31",1.6,3.6,"0.44","0.447",0.2,0.2,"1",0.2,0.6,0.8,2.9,0.4,0,0.8,0.9,4.7
"246",246,246,"shelvin mack","PG",24,"ATL",55,0,15.1,2.1,5.3,"0.401",0.7,2.3,"0.315",1.4,3,"0.467","0.469",0.5,0.6,"0.806",0.1,1.3,1.4,2.8,0.5,0,0.9,0.6,5.4
"247",247,247,"kendall marshall","PG",23,"MIL",28,3,14.9,1.6,3.6,"0.455",0.6,1.6,"0.391",1,2,"0.509","0.545",0.3,0.3,"0.889",0.1,0.9,1,3.1,0.8,0,1.3,0.9,4.2
"248",248,248,"ray mccallum","PG",23,"SAC",68,30,21.1,3,6.9,"0.438",0.5,1.6,"0.306",2.5,5.3,"0.479","0.474",0.8,1.2,"0.679",0.8,1.9,2.6,2.8,0.7,0.2,1.3,1.4,7.4
"249",249,249,"jerel mcneal","PG",27,"PHO",6,0,6,0.5,1.8,"0.273",0.2,0.3,"0.5",0.3,1.5,"0.222","0.318",0.3,0.3,"1",0,0.5,0.5,0.3,0.5,0.2,0.8,0.8,1.5
"250",250,250,"gal mekel","PG",26,"NOP",4,0,10.8,0.8,5,"0.15",0,0.8,"0",0.8,4.3,"0.176","0.15",0,0,"NA",0,0.3,0.3,3.3,0.5,0,0.5,0.3,1.5
"251",251,251,"andre miller","PG",38,"TOT",81,0,15.5,1.8,3.6,"0.5",0.1,0.4,"0.206",1.7,3.2,"0.539","0.512",0.7,1,"0.753",0.5,1.4,1.9,3.5,0.4,0.1,1.3,1.3,4.4
"252",252,252,"patty mills","PG",26,"SAS",51,0,15.7,2.5,6.6,"0.381",1.2,3.6,"0.341",1.3,3,"0.429","0.473",0.6,0.8,"0.825",0.4,1.1,1.5,1.7,0.5,0,0.7,1.1,6.9
"253",253,253,"darius morris","PG",24,"BRK",38,0,7.9,0.9,2.8,"0.34",0.2,0.9,"0.212",0.8,1.9,"0.397","0.373",0.1,0.2,"0.444",0.2,0.5,0.7,1.3,0.2,0,0.6,0.5,2.2
"254",254,254,"shabazz napier","PG",23,"MIA",51,10,19.8,1.7,4.5,"0.382",0.8,2.3,"0.364",0.9,2.2,"0.4","0.476",0.9,1.1,"0.786",0.3,1.9,2.2,2.5,0.8,0.1,1.6,1.5,5.1
"255",255,255,"jameer nelson","PG",32,"TOT",63,29,22.3,3.3,8,"0.407",1.4,4.1,"0.345",1.8,3.9,"0.472","0.495",0.4,0.6,"0.667",0.5,1.8,2.3,4,0.7,0.1,1.7,2.2,8.3
"256",256,256,"jannero pargo","PG",35,"CHO",9,0,8.1,1.7,3.9,"0.429",1,2.4,"0.409",0.7,1.4,"0.462","0.557",0.2,0.2,"1",0,0.3,0.3,0.9,0,0,0.3,0.9,4.6
"257",257,257,"tony parker","PG",32,"SAS",68,68,28.7,5.9,12.2,"0.486",0.6,1.3,"0.427",5.4,10.9,"0.493","0.508",1.9,2.4,"0.783",0.2,1.7,1.9,4.9,0.6,0,2.1,1.6,14.4
"258",258,258,"chris paul","PG",29,"LAC",82,82,34.8,6.9,14.3,"0.485",1.7,4.3,"0.398",5.2,10,"0.523","0.545",3.5,3.9,"0.9",0.6,4,4.6,10.2,1.9,0.2,2.3,2.5,19.1
"259",259,259,"elfrid payton","PG",20,"ORL",82,63,30.4,3.7,8.6,"0.425",0.1,0.5,"0.262",3.5,8.1,"0.435","0.433",1.4,2.6,"0.551",1.3,3,4.3,6.5,1.7,0.2,2.5,2.4,8.9
"260",260,260,"phil pressey","PG",23,"BOS",50,0,12,1.3,3.5,"0.368",0.3,1.3,"0.246",1,2.2,"0.44","0.414",0.7,1,"0.673",0.3,1.3,1.6,2.3,0.6,0.1,0.8,1.1,3.5
"261",261,261,"a.j. price","PG",28,"TOT",26,0,12.5,2,5.3,"0.372",0.6,2.2,"0.263",1.4,3.1,"0.45","0.427",0.6,0.9,"0.667",0.2,1,1.2,1.8,0.3,0,0.5,0.6,5.1
"262",262,262,"ronnie price","PG",31,"LAL",43,20,22.8,1.8,5.2,"0.345",0.7,2.5,"0.284",1.1,2.7,"0.404","0.415",0.8,1,"0.8",0.4,1.2,1.6,3.8,1.6,0.1,1.2,2.7,5.1
"263",263,263,"pablo prigioni","PG",37,"TOT",67,3,17.9,1.4,3.4,"0.399",0.9,2.5,"0.343",0.5,0.9,"0.548","0.524",0.5,0.6,"0.854",0.4,1.3,1.8,2.6,1.2,0,0.9,1.3,4.1
"264",264,264,"luke ridnour","PG",33,"ORL",47,0,14.5,1.6,3.7,"0.426",0.4,1.3,"0.317",1.2,2.4,"0.487","0.483",0.4,0.4,"0.857",0.2,1.3,1.4,2,0.4,0.1,0.8,1.4,4
"265",265,265,"brian roberts","PG",29,"CHO",72,10,18.5,2.4,6.3,"0.389",0.9,2.7,"0.321",1.6,3.6,"0.44","0.458",0.9,1,"0.892",0.2,1.3,1.5,2.3,0.5,0.1,0.8,1,6.7
"266",266,266,"nate robinson","PG",30,"TOT",42,1,14.1,2.1,6.1,"0.345",0.7,2.7,"0.277",1.4,3.4,"0.399","0.406",0.7,1.1,"0.674",0.4,0.8,1.2,2.3,0.5,0.1,0.7,1.8,5.7
"267",267,267,"rajon rondo","PG",28,"TOT",68,68,29.7,4,9.5,"0.426",0.4,1.3,"0.314",3.6,8.2,"0.444","0.447",0.5,1.1,"0.397",1.1,4.4,5.5,7.9,1.3,0.1,3.1,2.3,8.9
"268",268,268,"derrick rose","PG",26,"CHI",51,51,30,6.6,16.4,"0.405",1.5,5.3,"0.28",5.1,11.1,"0.465","0.45",3,3.7,"0.813",0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,17.7
"269",269,269,"ricky rubio","PG",24,"MIN",22,22,31.5,3.5,10,"0.356",0.6,2.3,"0.255",3,7.6,"0.387","0.386",2.6,3.2,"0.803",0.9,4.8,5.7,8.8,1.7,0,2.9,2.7,10.3
"270",270,270,"dennis schroder","PG",21,"ATL",77,10,19.7,3.7,8.6,"0.427",0.7,1.9,"0.351",3,6.7,"0.449","0.466",1.9,2.3,"0.827",0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10
"271",271,271,"ramon sessions","PG",28,"TOT",64,10,18.6,2,5.2,"0.374",0.3,0.9,"0.317",1.7,4.3,"0.387","0.403",2.1,2.7,"0.769",0.4,1.9,2.3,2.8,0.5,0,1.3,1.1,6.3
"272",272,272,"donald sloan","PG",27,"IND",53,21,20.9,2.7,6.7,"0.408",0.8,2.5,"0.313",2,4.2,"0.464","0.466",1.1,1.5,"0.779",0.2,2.5,2.7,3.6,0.4,0,1.2,0.9,7.4
"273",273,273,"marcus smart","PG",20,"BOS",67,38,27,2.6,7.1,"0.367",1.4,4.1,"0.335",1.3,3.1,"0.41","0.462",1.2,1.9,"0.646",0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,7.8
"274",274,274,"ish smith","PG",26,"TOT",55,14,15.1,2.6,6.7,"0.39",0.3,1.1,"0.3",2.3,5.6,"0.407","0.414",0.6,1,"0.596",0.3,1.5,1.8,3.3,0.7,0.1,1.4,0.9,6.1
"275",275,275,"russ smith","PG",23,"TOT",12,0,5.4,0.7,2.1,"0.32",0.2,0.9,"0.182",0.5,1.2,"0.429","0.36",1,1.1,"0.923",0.1,0.4,0.5,0.7,0.3,0,1,1.1,2.5
"276",276,276,"david stockton","PG",23,"SAC",3,0,11,0.7,2,"0.333",0.3,0.7,"0.5",0.3,1.3,"0.25","0.417",1,2,"0.5",0,0.7,0.7,3,0.7,0,1.3,0.3,2.7
"277",277,277,"rodney stuckey","PG",28,"IND",71,36,26.4,4.7,10.6,"0.44",0.8,2,"0.39",3.9,8.6,"0.452","0.477",2.5,3,"0.819",0.5,3,3.5,3.1,0.8,0.1,1.7,1.8,12.6
"278",278,278,"jeff teague","PG",26,"ATL",73,72,30.5,5.6,12.2,"0.46",1,2.8,"0.343",4.6,9.3,"0.496","0.5",3.8,4.4,"0.862",0.4,2.1,2.5,7,1.7,0.4,2.8,1.9,15.9
"279",279,279,"sebastian telfair","PG",29,"OKC",16,1,20.4,2.9,7.8,"0.368",1.1,3.8,"0.3",1.8,4.1,"0.431","0.44",1.5,2.1,"0.706",0.1,1.8,1.9,2.8,0.6,0,1.1,1.8,8.4
"280",280,280,"isaiah thomas","PG",25,"TOT",67,1,25.8,5,11.9,"0.42",1.9,5.2,"0.373",3.1,6.7,"0.457","0.501",4.5,5.2,"0.868",0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2,16.4
"281",281,281,"beno udrih","PG",32,"MEM",79,12,18.9,3.1,6.4,"0.487",0.3,1.2,"0.268",2.8,5.2,"0.539","0.513",1.1,1.3,"0.853",0.3,1.6,1.8,2.8,0.6,0.1,1.1,1.1,7.7
"282",282,282,"greivis vasquez","PG",28,"TOR",82,29,24.3,3.6,8.8,"0.408",1.6,4.3,"0.379",2,4.6,"0.436","0.5",0.6,0.8,"0.758",0.3,2.4,2.6,3.7,0.6,0.1,1.5,2.2,9.5
"283",283,283,"kemba walker","PG",24,"CHO",62,58,34.2,6.1,15.8,"0.385",1.4,4.5,"0.304",4.7,11.3,"0.418","0.429",3.8,4.6,"0.827",0.6,3,3.5,5.1,1.4,0.5,1.6,1.5,17.3
"284",284,284,"john wall","PG",24,"WAS",79,79,35.9,6.6,14.8,"0.445",0.8,2.7,"0.3",5.7,12,"0.478","0.473",3.6,4.6,"0.785",0.5,4.2,4.6,10,1.7,0.6,3.8,2.3,17.6
"285",285,285,"cj watson","PG",30,"IND",57,21,24.9,3.2,7.3,"0.434",1.2,3.1,"0.4",1.9,4.2,"0.459","0.518",2.4,2.9,"0.826",0.3,2.5,2.9,3.6,1,0.2,1.8,1.9,10
"286",286,286,"russell westbrook","PG",26,"OKC",67,67,34.4,9.4,22,"0.426",1.3,4.3,"0.299",8.1,17.7,"0.457","0.455",8.1,9.8,"0.835",1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1
"287",287,287,"deron williams","PG",30,"BRK",68,55,31.1,4.4,11.3,"0.387",1.3,3.5,"0.367",3.1,7.9,"0.395","0.443",3,3.5,"0.834",0.4,3.1,3.5,6.6,0.9,0.3,2.3,2.3,13
"288",288,288,"mo williams","PG",32,"TOT",68,33,29.1,5,12.6,"0.397",1.8,5.1,"0.342",3.3,7.5,"0.434","0.466",2.4,2.8,"0.872",0.3,2.2,2.6,6.2,0.7,0.2,2.5,2.4,14.2
"289",289,289,"nate wolters","PG",23,"TOT",21,0,11.8,1,2.7,"0.351",0,0.3,"0",1,2.4,"0.4","0.351",0.1,0.3,"0.333",0.4,1.2,1.6,1,0.4,0.1,0.6,0.9,2
"290",290,290,"tony wroten","PG",21,"PHI",30,15,29.8,5.8,14.5,"0.403",1.2,4.7,"0.261",4.6,9.7,"0.473","0.446",4,6,"0.667",0.7,2.1,2.9,5.2,1.6,0.3,3.8,2.4,16.9
"291",291,291,"brandon knight","PG",23,"TOT",63,61,32.3,6,14.1,"0.422",2,5.1,"0.389",4,9,"0.441","0.493",3.1,3.5,"0.874",0.4,3.4,3.9,5.2,1.4,0.2,3,1.8,17
"292",292,292,"austin rivers","PG",22,"TOT",76,5,20.6,2.7,6.5,"0.409",0.5,1.7,"0.298",2.2,4.8,"0.449","0.449",1.1,1.7,"0.675",0.4,1.6,2,2,0.6,0.2,0.9,1.9,7
"293",293,293,"al-farouq aminu","SF",24,"DAL",74,3,18.5,2,4.8,"0.412",0.5,1.7,"0.274",1.5,3.1,"0.485","0.459",1.1,1.6,"0.712",1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6
"294",294,294,"kyle anderson","SF",21,"SAS",33,8,10.8,0.9,2.7,"0.348",0.1,0.3,"0.273",0.8,2.4,"0.359","0.365",0.3,0.4,"0.643",0.2,2,2.2,0.8,0.5,0.2,0.3,0.8,2.2
"295",295,295,"carmelo anthony","SF",30,"NYK",40,40,35.7,9,20.2,"0.444",1.5,4.5,"0.341",7.4,15.7,"0.474","0.482",4.7,5.9,"0.797",1.8,4.8,6.6,3.1,1,0.4,2.2,2.2,24.2
"296",296,296,"trevor ariza","SF",29,"HOU",82,82,35.7,4.5,11.1,"0.402",2.4,6.8,"0.35",2.1,4.3,"0.485","0.509",1.5,1.7,"0.853",0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8
"297",297,297,"luke babbitt","SF",25,"NOP",63,19,13.2,1.5,3,"0.479",0.9,1.8,"0.513",0.5,1.2,"0.429","0.633",0.2,0.3,"0.684",0.2,1.6,1.8,0.4,0.3,0.2,0.4,1,4.1
"298",298,298,"harrison barnes","SF",22,"GSW",82,82,28.3,3.9,8,"0.482",1.1,2.6,"0.405",2.8,5.4,"0.519","0.548",1.3,1.8,"0.72",1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1
"299",299,299,"matt barnes","SF",34,"LAC",76,74,29.9,3.6,8.2,"0.444",1.8,4.9,"0.362",1.9,3.3,"0.569","0.553",1,1.3,"0.779",0.7,3.3,4,1.5,0.9,0.7,1.1,3.2,10.1
"300",300,300,"nicolas batum","SF",26,"POR",71,71,33.5,3.4,8.5,"0.4",1.4,4.4,"0.324",2,4.1,"0.481","0.483",1.2,1.4,"0.857",0.9,5,5.9,4.8,1.1,0.6,1.9,1.5,9.4
"301",301,301,"bojan bogdanovic","SF",25,"BRK",78,28,23.8,3.3,7.4,"0.453",1.2,3.3,"0.355",2.2,4.1,"0.531","0.532",1.1,1.4,"0.821",0.6,2.1,2.7,0.9,0.4,0.1,1,1.3,9
"302",302,302,"corey brewer","SF",28,"TOT",80,17,26.1,4.3,10.1,"0.426",0.8,2.9,"0.268",3.5,7.1,"0.491","0.465",2.1,2.8,"0.743",1,2.7,3.7,2.2,1.4,0.2,1.6,2.2,11.5
