"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"103",103,103,"carlos boozer","PF",33,"LAL",71,26,23.8,5.2,10.5,"0.499",0,0,"NA",5.2,10.5,"0.499","0.499",1.3,2.1,"0.627",1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8
"104",104,104,"earl clark","PF",27,"BRK",10,0,9.3,1.1,3,"0.367",0.4,1.4,"0.286",0.7,1.6,"0.438","0.433",0.1,0.4,"0.25",0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7
"105",105,105,"nick collison","PF",34,"OKC",66,2,16.7,1.6,3.8,"0.419",0.2,0.9,"0.267",1.4,2.9,"0.466","0.451",0.7,1,"0.692",1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1
"106",106,106,"jack cooley","PF",23,"UTA",16,0,5.4,0.6,1.4,"0.409",0,0,"NA",0.6,1.4,"0.409","0.409",0.6,1.3,"0.429",0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7
"107",107,107,"dante cunningham","PF",27,"NOP",66,27,25,2.3,5.1,"0.457",0,0.2,"0.1",2.3,5,"0.468","0.459",0.4,0.7,"0.617",1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2
"108",108,108,"brandon davies","PF",23,"TOT",27,6,15.7,2,5.1,"0.401",0.3,1.3,"0.235",1.7,3.8,"0.456","0.431",0.9,1.4,"0.649",1.4,1.7,3.1,1.1,0.7,0.3,1.1,2.2,5.3
"109",109,109,"anthony davis","PF",21,"NOP",68,68,36.1,9.4,17.6,"0.535",0,0.2,"0.083",9.4,17.5,"0.54","0.536",5.5,6.8,"0.805",2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4
"110",110,110,"ed davis","PF",25,"LAL",79,24,23.3,3.6,5.9,"0.601",0,0,"NA",3.6,5.9,"0.601","0.601",1.2,2.4,"0.487",2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3
"111",111,111,"glen davis","PF",29,"LAC",74,0,12.2,1.6,3.4,"0.459",0,0.1,"0",1.6,3.4,"0.466","0.459",0.8,1.3,"0.632",0.6,1.7,2.3,0.5,0.6,0.3,0.5,1.8,4
"112",112,112,"boris diaw","PF",32,"SAS",81,15,24.5,3.6,7.8,"0.46",0.7,2.1,"0.32",2.9,5.7,"0.512","0.503",0.9,1.1,"0.774",1,3.3,4.3,2.9,0.4,0.3,1.6,1.8,8.7
"113",113,113,"joey dorsey","PF",31,"HOU",69,17,12.4,1.2,2.1,"0.552",0,0,"0",1.2,2.1,"0.556","0.552",0.3,1.2,"0.289",1.5,2.6,4,0.4,0.6,0.4,0.6,2.3,2.7
"114",114,114,"reggie evans","PF",34,"SAC",47,7,16.3,1.2,2.9,"0.423",0,0,"0",1.2,2.9,"0.43","0.423",1.3,2.1,"0.619",2.1,4.3,6.4,0.7,0.5,0.1,1,1.9,3.7
"115",115,115,"kenneth faried","PF",25,"DEN",75,71,27.8,5,9.8,"0.507",0,0.1,"0.125",5,9.7,"0.511","0.507",2.7,3.8,"0.691",3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6
